student_number,attended,total,score,max_score
S-1001,15,24,60,100
S-1002,11,24,40,100
S-1003,15,24,57,100
S-1004,7,24,37,100
S-1005,19,24,77,100
S-1006,7,24,24,100
S-1007,20,24,74,100
S-1008,11,24,54,100
S-1009,16,24,71,100
S-1010,12,24,41,100
S-1011,24,24,91,100
S-1012,8,24,38,100
S-1013,21,24,88,100
S-1014,16,24,68,100
S-1015,21,24,75,100
S-1016,13,24,55,100
S-1017,24,24,99,100
S-1018,13,24,52,100
S-1019,9,24,32,100
S-1020,17,24,72,100
S-1021,5,24,19,100
S-1022,18,24,69,100
S-1023,13,24,49,100
S-1024,14,24,66,100
S-1025,10,24,36,100
S-1026,22,24,86,100
S-1027,10,24,33,100
S-1028,18,24,83,100
S-1029,14,24,63,100
S-1030,19,24,70,100
S-1031,14,24,50,100
S-1032,23,24,99,100
S-1033,11,24,47,100
S-1034,23,24,97,100
S-1035,19,24,67,100
