student_number,attended,total,score,max_score
S-1001,15,24,60,100
S-1002,10,24,36,100
S-1003,16,24,62,100
S-1004,7,24,37,100
S-1005,18,24,72,100
S-1006,8,24,28,100
S-1007,20,24,74,100
S-1008,10,24,50,100
S-1009,17,24,76,100
S-1010,12,24,41,100
S-1011,23,24,86,100
S-1012,9,24,42,100
S-1013,21,24,88,100
S-1014,15,24,64,100
S-1015,22,24,80,100
S-1016,13,24,55,100
S-1017,24,24,99,100
S-1018,14,24,56,100
S-1019,9,24,32,100
S-1020,16,24,68,100
S-1021,6,24,24,100
S-1022,18,24,69,100
S-1023,12,24,44,100
S-1024,15,24,70,100
S-1025,10,24,36,100
S-1026,21,24,82,100
S-1027,11,24,38,100
S-1028,18,24,83,100
S-1029,13,24,58,100
S-1030,20,24,74,100
S-1031,14,24,50,100
S-1032,22,24,96,100
S-1033,12,24,52,100
S-1034,23,24,97,100
S-1035,18,24,62,100
