student_number,attended,total,score,max_score
S-1001,15,24,60,100
S-1002,9,24,32,100
S-1003,17,24,64,100
S-1004,7,24,37,100
S-1005,18,24,70,100
S-1006,9,24,32,100
S-1007,20,24,74,100
S-1008,10,24,46,100
S-1009,18,24,78,100
S-1010,12,24,41,100
S-1011,23,24,84,100
S-1012,10,24,46,100
S-1013,21,24,88,100
S-1014,15,24,60,100
S-1015,23,24,82,100
S-1016,13,24,55,100
S-1017,23,24,98,100
S-1018,15,24,59,100
S-1019,9,24,32,100
S-1020,15,24,64,100
S-1021,7,24,27,100
S-1022,18,24,69,100
S-1023,11,24,41,100
S-1024,16,24,74,100
S-1025,10,24,36,100
S-1026,20,24,78,100
S-1027,12,24,40,100
S-1028,18,24,83,100
S-1029,12,24,56,100
S-1030,21,24,78,100
S-1031,14,24,50,100
S-1032,21,24,92,100
S-1033,13,24,54,100
S-1034,23,24,97,100
S-1035,17,24,60,100
